playerName,firstAgent,secondAgent,thirdAgent,firstWeapon,secondWeapon,thirdWeapon,bestMap,secondBestMap,thirdBestMap,worstMap
guintt,Jett,Reyna,Chamber,Vandal,Phantom,Spectre,Breeze,Fracture,Ascent,Haven
Kaito,Jett,Reyna,Sage,Vandal,Operator,Phantom,Breeze,Icebox,Ascent,Split
ilystephy,Sova,Raze,Reyna,Vandal,Phantom,Ghost,Split,Bind,Icebox,Ascent
Viní JR,Chamber,Jett,Raze,Vandal,Operator,Phantom,Bind,Haven,Breeze,Split
maxhinh0,Jett,Reyna,Chamber,Vandal,Phantom,Spectre,Ascent,Haven,Icebox,Fracture
Isaac,Jett,Raze,Skye,Vandal,Phantom,Sheriff,Fracture,Breeze,Bind,Split
RXN aadaM,Jett,Reyna,Raze,Vandal,Phantom,Ghost,Split,Breeze,Haven,Icebox
HYPE leo1,Reyna,Jett,Raze,Vandal,Phantom,Operator,Icebox,Breeze,Bind,Ascent
BAAM Tommy péo,Jett,Raze,Reyna,Vandal,Phantom,Operator,Split,Breeze,Bind,Haven
real,Jett,Reyna,Raze,Vandal,Phantom,Spectre,Ascent,Bind,Icebox,Fracture
Dynasty,Omen,Sova,Raze,Vandal,Phantom,Spectre,Icebox,Bind,Ascent,Breeze
refrezh,Sova,Breach,Cypher,Vandal,Phantom,Spectre,Breeze,Icebox,Split,Haven
FENNEL JinboongE,Reyna,Breach,Jett,Vandal,Phantom,Ghost,Icebox,Split,Ascent,Fracture
斗鱼啊杰,Jett,Reyna,Chamber,Vandal,Operator,Phantom,Haven,Icebox,Ascent,Split
AE Yort,Jett,Sova,Omen,Vandal,Phantom,Ghost,Split,Haven,Bind,Icebox
revenge,Jett,Raze,Sova,Vandal,Phantom,Operator,Haven,Icebox,Fracture,Breeze
FAV bazz,Astra,Jett,Reyna,Vandal,Phantom,Spectre,Bind,Haven,Breeze,Fracture
she wanted samir,Jett,Reyna,Sage,Vandal,Phantom,Operator,Icebox,Ascent,Breeze,Fracture
GHOST johnqt,Jett,Raze,Reyna,Vandal,Phantom,Ghost,Fracture,Icebox,Split,Ascent
w0zzip,Jett,Raze,Reyna,Vandal,Phantom,Ghost,Breeze,Bind,Haven,Icebox
h4ppy,Jett,Fade,Chamber,Vandal,Phantom,Ghost,Breeze,Icebox,Haven,Bind
paranoid,Jett,Reyna,Phoenix,Vandal,Phantom,Operator,Ascent,Breeze,Haven,Fracture
LBD Saya,Jett,Reyna,Raze,Vandal,Phantom,Spectre,Fracture,Breeze,Bind,Ascent
eJutsu EliEsS,Brimstone,Raze,Jett,Vandal,Phantom,Spectre,Icebox,Bind,Ascent,Breeze
ItzScythe,Reyna,Jett,Sova,Vandal,Phantom,Sheriff,Bind,Fracture,Ascent,Haven
electus,Chamber,Raze,KAY/O,Vandal,Phantom,Spectre,Split,Fracture,Haven,Breeze
heysonwang ttv,Jett,Chamber,Reyna,Vandal,Phantom,Spectre,Fracture,Bind,Haven,Icebox
pls pls pls,Reyna,Jett,Skye,Vandal,Sheriff,Guardian,Fracture,Bind,Split,Ascent
TLX bull,Jett,Chamber,Killjoy,Vandal,Operator,Phantom,Bind,Haven,Ascent,Split
Svl Savage KR,Sage,Jett,KAY/O,Vandal,Spectre,Phantom,Icebox,Fracture,Haven,Split
luckyMrJ,Chamber,Killjoy,Reyna,Vandal,Phantom,Spectre,Icebox,Ascent,Breeze,Bind
Rabb1t,Chamber,Reyna,Jett,Vandal,Phantom,Sheriff,Haven,Breeze,Fracture,Split
MRS Fizzy,Reyna,Cypher,Omen,Vandal,Phantom,Spectre,Fracture,Split,Haven,Ascent
charoenพร,Reyna,Jett,Omen,Vandal,Phantom,Spectre,Breeze,Icebox,Bind,Haven
NASIPADANG,Chamber,Omen,Sova,Vandal,Operator,Sheriff,Ascent,Icebox,Breeze,Fracture
RIG kuroTpottsaq,Jett,Reyna,Sova,Vandal,Phantom,Spectre,Haven,Icebox,Ascent,Fracture
asta,Jett,Raze,Reyna,Vandal,Phantom,Ghost,Bind,Haven,Fracture,Split
Maiafds,Sage,Reyna,Killjoy,Vandal,Phantom,Spectre,Split,Breeze,Fracture,Haven
caioba,Raze,Sova,Reyna,Vandal,Phantom,Spectre,Icebox,Haven,Fracture,Breeze
Thom,Jett,Raze,Sova,Vandal,Phantom,Operator,Split,Ascent,Bind,Fracture
BAYDIR,Chamber,Omen,Sage,Vandal,Guardian,Ghost,Fracture,Haven,Split,Icebox
FPX DeadlyWill,Reyna,Breach,Jett,Vandal,Phantom,Ghost,Split,Icebox,Breeze,Haven
